dataset_name,xyz_lr_c,xyz_lr_final_c,radius_lr_c,radius_lr_final_c,weights_lr_c,weights_lr_final_c,mean_training_loss,mean_density_field_loss
starling,0.05,0.7,0.1,0.7,0.1,0.7,94658.00390625,0.6748533323390135
starling,0.05,0.7,0.1,0.7,0.1,0.8,95660.576171875,0.6806808804872215
starling,0.05,0.7,0.1,0.7,0.1,0.9,95803.3515625,0.6907191860552357
starling,0.05,0.7,0.1,0.7,0.14,0.7,92161.24609375,0.6602048586167504
starling,0.05,0.7,0.1,0.7,0.14,0.8,90584.318359375,0.6577175832186007
starling,0.05,0.7,0.1,0.7,0.14,0.9,91998.22265625,0.6423789405398608
starling,0.05,0.7,0.1,0.7,0.2,0.7,103365.671875,0.7152787863129123
starling,0.05,0.7,0.1,0.7,0.2,0.8,104829.3046875,0.7082993206689732
starling,0.05,0.7,0.1,0.7,0.2,0.9,105090.958984375,0.7112948524518066
starling,0.05,0.7,0.1,0.8,0.1,0.7,94466.61328125,0.681335806350941
starling,0.05,0.7,0.1,0.8,0.1,0.8,94943.595703125,0.6888100994400104
starling,0.05,0.7,0.1,0.8,0.1,0.9,94880.88671875,0.6910337189712588
starling,0.05,0.7,0.1,0.8,0.14,0.7,93575.708984375,0.6456120477833027
starling,0.05,0.7,0.1,0.8,0.14,0.8,91413.15234375,0.6424458107425929
starling,0.05,0.7,0.1,0.8,0.14,0.9,92318.34375,0.6508647853329885
starling,0.05,0.7,0.1,0.8,0.2,0.7,103416.40234375,0.7159309354660484
starling,0.05,0.7,0.1,0.8,0.2,0.8,104370.189453125,0.7156711684810708
starling,0.05,0.7,0.1,0.8,0.2,0.9,105050.986328125,0.7149253963395437
starling,0.05,0.7,0.1,0.9,0.1,0.7,94316.392578125,0.689234213721198
starling,0.05,0.7,0.1,0.9,0.1,0.8,94515.388671875,0.6915747201976762
starling,0.05,0.7,0.1,0.9,0.1,0.9,94700.810546875,0.6961927396562964
starling,0.05,0.7,0.1,0.9,0.14,0.7,91760.974609375,0.647529699120679
starling,0.05,0.7,0.1,0.9,0.14,0.8,92313.36328125,0.6480838816445778
starling,0.05,0.7,0.1,0.9,0.14,0.9,92426.865234375,0.6456962346357022
starling,0.05,0.7,0.1,0.9,0.2,0.7,103099.455078125,0.7179467329693021
starling,0.05,0.7,0.1,0.9,0.2,0.8,104357.251953125,0.7096099845359338
starling,0.05,0.7,0.1,0.9,0.2,0.9,104373.724609375,0.708989924558703
starling,0.05,0.7,0.2,0.7,0.1,0.7,105577.01171875,0.6571355099120668
starling,0.05,0.7,0.2,0.7,0.1,0.8,106993.06640625,0.647115983378669
starling,0.05,0.7,0.2,0.7,0.1,0.9,106976.35546875,0.6582144233657312
starling,0.05,0.7,0.2,0.7,0.14,0.7,109703.4375,0.6909079731308332
starling,0.05,0.7,0.2,0.7,0.14,0.8,110161.83984375,0.6896819924189279
starling,0.05,0.7,0.2,0.7,0.14,0.9,109135.349609375,0.7252966335080167
starling,0.05,0.7,0.2,0.7,0.2,0.7,105172.712890625,0.7448297639401986
starling,0.05,0.7,0.2,0.7,0.2,0.8,104836.873046875,0.7493909381684232
starling,0.05,0.7,0.2,0.7,0.2,0.9,107554.44140625,0.7414993358125435
starling,0.05,0.7,0.2,0.8,0.1,0.7,106064.990234375,0.6518828561952497
starling,0.05,0.7,0.2,0.8,0.1,0.8,107521.5703125,0.650438505376463
starling,0.05,0.7,0.2,0.8,0.1,0.9,109122.271484375,0.6479582561092481
starling,0.05,0.7,0.2,0.8,0.14,0.7,109359.18359375,0.6966852561279404
starling,0.05,0.7,0.2,0.8,0.14,0.8,109888.857421875,0.7114766229729881
starling,0.05,0.7,0.2,0.8,0.14,0.9,111020.15234375,0.7026703548851785
starling,0.05,0.7,0.2,0.8,0.2,0.7,108117.40234375,0.7506866859706147
starling,0.05,0.7,0.2,0.8,0.2,0.8,109840.498046875,0.7419339443660858
starling,0.05,0.7,0.2,0.8,0.2,0.9,107818.2109375,0.7384055723608042
starling,0.05,0.7,0.2,0.9,0.1,0.7,109365.23828125,0.6475619223774823
starling,0.05,0.7,0.2,0.9,0.1,0.8,110412.830078125,0.6491884170961673
starling,0.05,0.7,0.2,0.9,0.1,0.9,111106.15234375,0.6506619651361211
starling,0.05,0.7,0.2,0.9,0.14,0.7,110773.384765625,0.7023521444753762
